Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
0,149350,Liman,Liman 4,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,,,,1
1,113300,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",59,uknjiženo,,useljivo,,1
2,80000,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",38,uknjiženo,,useljivo,,4
3,95280,Bulevar Oslobođenja,Bulevar Oslobođenja,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",49,uknjiženo,,useljivo,,7
4,118450,Liman,Liman 3,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",57,uknjiženo,,useljivo,,4
5,115350,Banatić,Banatić,3,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,,useljivo,,3
6,105000,Bulevar Oslobođenja,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),telefon,60,nije uknjiženo,,useljivo,,visoko
7,67900,Detelinara,Nova Detelinara,2,centralno grejanje,prazno,ima lift (1),telefon,47,nije uknjiženo,,useljivo,1965,3
8,108500,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),telefon,81,uknjiženo,uobičajeno stanje,useljivo,2006,5
9,103000,Klisa,Šonsi,2,centralno grejanje,prazno,ima lift (1),telefon,64,uknjiženo,uobičajeno stanje,useljivo,1990,2
10,115360,Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),telefon,77,uknjiženo,uobičajeno stanje,useljivo,1900,3
11,99000,Liman,Miloša Crnjanskog,2,centralno grejanje,prazno,ima lift (1),telefon,55,uknjiženo,uobičajeno stanje,useljivo,1900,7
12,56900,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,24,uknjiženo,uobičajeno stanje,useljivo,1900,1
13,49800,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,21,uknjiženo,uobičajeno stanje,useljivo,1900,1
14,81600,Stari Grad,Jevrejska,1,centralno grejanje,prazno,ima lift (1),telefon,36,uknjiženo,uobičajeno stanje,useljivo,1900,1
15,125660,Petrovaradin,Petrovaradin,2,grejanje na struju,namešteno,ima lift (1),"kablovska, internet, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",71,uknjiženo,renovirano,useljivo,1900,1
16,69000,Bulevar Evrope,Bulevar Evrope,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",24,uknjiženo,novo,useljivo,1900,3
17,119000,Novo Naselje,Novo Naselje,2,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",65,uknjiženo,novo,useljivo,1900,visoko
18,157000,Sajmište,Sajmište,3,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",68,uknjiženo,novo,useljivo,1900,1
19,129350,Klisa,Klisa,4,podno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",91,uknjiženo,novo,useljivo,2022,prizemlje
20,46960,Grbavica,Grbavica,4,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",19,uknjiženo,novo,useljivo,2022,2
21,145760,Liman,Liman 2,2,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",61,uknjiženo,novo,useljivo,2022,2
22,94800,Telep,Telep,1,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",42,uknjiženo,novo,useljivo,2022,1
23,88600,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),1,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",38,uknjiženo,novo,useljivo,2022,prizemlje
24,138500,Grbavica,Grbavica,2,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",56,uknjiženo,novo,useljivo,2022,6
25,64890,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",27,uknjiženo,uobičajeno stanje,useljivo,2013,3
26,69000,Novo Naselje,Bistrica,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,uknjiženo,uobičajeno stanje,useljivo,2013,1
27,140100,Telep,Bulevar Patrijarha Pavla,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",76,uknjiženo,uobičajeno stanje,useljivo,2013,4
28,87550,Stari Grad,Jevrejska,1,centralno grejanje,prazno,ima lift (1),telefon,37,uknjiženo,uobičajeno stanje,useljivo,2013,3
29,54590,Podbara,Jug Bogdana,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",21,uknjiženo,uobičajeno stanje,useljivo,2013,5
30,82400,Rotkvarija,Vojvode Šupljikca,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2013,4
31,189520,Novo Naselje,Rodoljuba Čolakovića,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",93,uknjiženo,uobičajeno stanje,useljivo,2013,5
32,144200,Sajmište,Kopernikova,4.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",98,uknjiženo,uobičajeno stanje,useljivo,2013,3
33,92700,Bulevar Oslobođenja,Novosadskog Sajma,1,centralno grejanje,prazno,ima lift (1),"telefon, klima",30,uknjiženo,uobičajeno stanje,useljivo,2013,1
34,386250,Sajmište,Bore Prodanovića,5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",125,nije uknjiženo,novo,useljivo,2013,1
35,74370,Detelinara,Cankareva,2,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",37,nije uknjiženo,uobičajeno stanje,useljivo,2013,4
36,103000,Stari Grad,Centar,2,grejanje na gas,prazno,ima lift (1),"telefon, internet, interfon",44,uknjiženo,uobičajeno stanje,useljivo,1999,3
37,71100,Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",26,uknjiženo,uobičajeno stanje,useljivo,2011,3
38,61800,Novo Naselje,Novo Naselje,1,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",28,uknjiženo,uobičajeno stanje,useljivo,2010,visoko
39,111240,Futoška,Futoška,2.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",65,uknjiženo,uobičajeno stanje,useljivo,2005,2
