Index,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor,YearOfBuildWasNan
0,149350,Liman,Liman 4,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,Missing,Rare_var,2009.0,1,1
1,113300,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",59,uknjiženo,Missing,useljivo,2009.0,1,1
2,80000,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",38,uknjiženo,Missing,useljivo,2009.0,4,1
3,95280,Bulevar Oslobođenja,Bulevar Oslobođenja,1.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",49,uknjiženo,Missing,useljivo,2009.0,7,1
4,118450,Liman,Liman 3,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",57,uknjiženo,Missing,useljivo,2009.0,4,1
5,115350,Banatić,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,Missing,useljivo,2009.0,3,1
6,105000,Bulevar Oslobođenja,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),telefon,60,nije uknjiženo,Missing,useljivo,2009.0,visoko,1
7,67900,Detelinara,Nova Detelinara,2.0,centralno grejanje,prazno,ima lift (1),telefon,47,nije uknjiženo,Missing,useljivo,1965.0,3,0
8,108500,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),telefon,81,uknjiženo,uobičajeno stanje,useljivo,2006.0,5,0
9,103000,Klisa,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),telefon,64,uknjiženo,uobičajeno stanje,useljivo,1990.0,2,0
10,115360,Banatić,Železnička stanica,3.0,centralno grejanje,prazno,ima lift (1),telefon,77,uknjiženo,uobičajeno stanje,useljivo,1900.0,3,0
11,99000,Liman,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),telefon,55,uknjiženo,uobičajeno stanje,useljivo,1900.0,7,0
12,56900,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,24,uknjiženo,uobičajeno stanje,useljivo,1900.0,1,0
13,49800,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,21,uknjiženo,uobičajeno stanje,useljivo,1900.0,1,0
14,81600,Stari Grad,Jevrejska,1.0,centralno grejanje,prazno,ima lift (1),telefon,36,uknjiženo,uobičajeno stanje,useljivo,1900.0,1,0
15,125660,Petrovaradin,Petrovaradin,2.0,grejanje na struju,namešteno,ima lift (1),Rare_var,71,uknjiženo,renovirano,useljivo,1900.0,1,0
16,69000,Bulevar Evrope,Bulevar Evrope,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,24,uknjiženo,novo,useljivo,1900.0,3,0
17,119000,Novo Naselje,Novo Naselje,2.0,centralno grejanje,polunamešteno,ima lift (1),Rare_var,65,uknjiženo,novo,useljivo,1900.0,visoko,0
18,157000,Sajmište,Sajmište,3.0,centralno grejanje,prazno,ima lift (1),Rare_var,68,uknjiženo,novo,useljivo,1900.0,1,0
19,129350,Klisa,Rare_var,4.0,podno grejanje,prazno,ima lift (1),Rare_var,91,uknjiženo,novo,useljivo,2022.0,prizemlje,0
20,46960,Grbavica,Grbavica,4.0,centralno grejanje,polunamešteno,ima lift (1),Rare_var,19,uknjiženo,novo,useljivo,2022.0,2,0
21,145760,Liman,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),Rare_var,61,uknjiženo,novo,useljivo,2022.0,2,0
22,94800,Telep,Telep,1.0,centralno grejanje,namešteno,ima lift (1),Rare_var,42,uknjiženo,novo,useljivo,2022.0,1,0
23,88600,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),1.0,grejanje na gas,prazno,ima lift (1),Rare_var,38,uknjiženo,novo,useljivo,2022.0,prizemlje,0
24,138500,Grbavica,Grbavica,2.0,grejanje na gas,namešteno,ima lift (1),Rare_var,56,uknjiženo,novo,useljivo,2022.0,6,0
25,64890,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",27,uknjiženo,uobičajeno stanje,useljivo,2013.0,3,0
26,69000,Novo Naselje,Bistrica,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,uknjiženo,uobičajeno stanje,useljivo,2013.0,1,0
27,140100,Telep,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",76,uknjiženo,uobičajeno stanje,useljivo,2013.0,4,0
28,87550,Stari Grad,Jevrejska,1.0,centralno grejanje,prazno,ima lift (1),telefon,37,uknjiženo,uobičajeno stanje,useljivo,2013.0,3,0
29,54590,Podbara,Rare_var,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",21,uknjiženo,uobičajeno stanje,useljivo,2013.0,5,0
30,82400,Rotkvarija,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2013.0,4,0
31,189520,Novo Naselje,Rare_var,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",93,uknjiženo,uobičajeno stanje,useljivo,2013.0,5,0
32,144200,Sajmište,Rare_var,4.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",98,uknjiženo,uobičajeno stanje,useljivo,2013.0,3,0
33,92700,Bulevar Oslobođenja,Rare_var,1.0,centralno grejanje,prazno,ima lift (1),"telefon, klima",30,uknjiženo,uobičajeno stanje,useljivo,2013.0,1,0
34,386250,Sajmište,Rare_var,5.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",125,nije uknjiženo,novo,useljivo,2013.0,1,0
35,74370,Detelinara,Rare_var,2.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",37,nije uknjiženo,uobičajeno stanje,useljivo,2013.0,4,0
36,103000,Stari Grad,Centar,2.0,grejanje na gas,prazno,ima lift (1),"telefon, internet, interfon",44,uknjiženo,uobičajeno stanje,useljivo,1999.0,3,0
37,71100,Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",26,uknjiženo,uobičajeno stanje,useljivo,2011.0,3,0
38,61800,Novo Naselje,Novo Naselje,1.0,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",28,uknjiženo,uobičajeno stanje,useljivo,2010.0,visoko,0
39,111240,Rare_var,Rare_var,2.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon",65,uknjiženo,uobičajeno stanje,useljivo,2005.0,2,0
40,145230,Podbara,Podbara,2.5,etažno grejanje,prazno,ima lift (1),"telefon, internet, interfon",61,uknjiženo,uobičajeno stanje,useljivo,2022.0,1,0
41,177430,Telep,Telep,4.0,etažno grejanje,prazno,ima lift (1),"telefon, internet, interfon",87,uknjiženo,uobičajeno stanje,useljivo,2022.0,2,0
42,591000,Stari Grad,Spens,6.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",302,uknjiženo,novo,useljivo,2022.0,4,0
43,711000,Bulevar Evrope,Bulevar Evrope,3.0,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",230,uknjiženo,novo,useljivo,2022.0,Rare_var,0
44,360500,Stari Grad,Centar,4.5,centralno grejanje,prazno,ima lift (1),"telefon, klima",175,uknjiženo,uobičajeno stanje,useljivo,2022.0,1,0
45,260000,Novo Naselje,Rare_var,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",130,uknjiženo,u izgradnji,useljivo,2022.0,visoko,0
46,157590,Grbavica,Grbavica,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",103,uknjiženo,uobičajeno stanje,useljivo,2013.0,6,0
47,198790,Detelinara,Nova Detelinara,4.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",88,uknjiženo,uobičajeno stanje,useljivo,2016.0,2,0
48,117800,Salajka,Rare_var,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",65,nije uknjiženo,u izgradnji,useljivo,2020.0,1,0
49,61800,Novo Naselje,Rare_var,1.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",28,uknjiženo,uobičajeno stanje,useljivo,2010.0,visoko,0
50,69000,Bulevar Evrope,Bulevar Evrope,0.5,etažno grejanje,prazno,ima lift (1),"telefon, kablovska",28,uknjiženo,u izgradnji,useljivo,2022.0,3,0
51,103000,Stari Grad,Centar,2.0,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",44,uknjiženo,uobičajeno stanje,useljivo,1999.0,3,0
52,76000,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",41,uknjiženo,uobičajeno stanje,useljivo,2006.0,3,0
53,125150,Bulevar Oslobođenja,Bulevar Oslobođenja,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",81,uknjiženo,uobičajeno stanje,useljivo,2006.0,7,0
54,108200,Stari Grad,Centar,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",35,uknjiženo,u izgradnji,useljivo,2006.0,4,0
55,56000,Stari Grad,Centar,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",21,uknjiženo,uobičajeno stanje,useljivo,2006.0,2,0
56,69000,Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",26,uknjiženo,uobičajeno stanje,useljivo,2007.0,3,0
57,72100,Bulevar Oslobođenja,Bulevar Oslobođenja,1.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",33,uknjiženo,renovirano,useljivo,2007.0,3,0
58,103000,Novo Naselje,Novo Naselje,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",85,uknjiženo,renovirano,useljivo,2007.0,4,0
59,600000,Stari Grad,Centar,4.0,centralno grejanje,prazno,ima lift (1),Rare_var,180,uknjiženo,renovirano,useljivo,2007.0,3,0
60,72100,Podbara,Podbara,1.5,centralno grejanje,prazno,ima lift (1),Rare_var,35,uknjiženo,u izgradnji,useljivo,2022.0,2,0
61,86210,Klisa,Rare_var,3.5,grejanje na gas,prazno,ima lift (1),Rare_var,62,uknjiženo,u izgradnji,useljivo,2022.0,1,0
62,46350,Telep,Telep,0.5,grejanje na gas,prazno,ima lift (1),Rare_var,23,uknjiženo,uobičajeno stanje,useljivo,2006.0,prizemlje,0
63,143685,Novo Naselje,Novo Naselje,3.0,centralno grejanje,prazno,ima lift (1),Rare_var,90,uknjiženo,uobičajeno stanje,useljivo,1996.0,3,0
64,133900,Detelinara,Nova Detelinara,3.0,centralno grejanje,prazno,ima lift (1),Rare_var,82,uknjiženo,uobičajeno stanje,useljivo,2006.0,5,0
65,185000,Liman,Liman 4,3.0,centralno grejanje,namešteno,ima lift (1),Rare_var,77,uknjiženo,uobičajeno stanje,useljivo,2006.0,3,0
66,64000,Rare_var,Rare_var,1.0,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010.0,visoko,0
67,104800,Grbavica,Rare_var,2.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,novo,useljivo,2010.0,4,0
68,50980,Petrovaradin,Rare_var,0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,novo,useljivo,2010.0,3,0
69,113300,Podbara,Rare_var,2.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",47,uknjiženo,novo,useljivo,2010.0,3,0
70,128550,Podbara,Rare_var,2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,novo,useljivo,2010.0,4,0
71,101000,Telep,Rare_var,2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",56,uknjiženo,novo,useljivo,2010.0,1,0
72,87500,Telep,Rare_var,2.0,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",61,uknjiženo,novo,useljivo,2010.0,3,0
73,97850,Grbavica,Rare_var,2.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,novo,useljivo,2010.0,5,0
74,75000,Telep,Rare_var,1.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",38,uknjiženo,novo,useljivo,2010.0,2,0
75,61800,Adice,Rare_var,2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010.0,prizemlje,0
76,72400,Bulevar Oslobođenja,Rare_var,1.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,novo,useljivo,2010.0,visoko,0
77,124220,Sajmište,Rare_var,3.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",67,uknjiženo,novo,useljivo,2010.0,1,0
78,103000,Detelinara,Rare_var,3.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",66,uknjiženo,novo,useljivo,2010.0,2,0
79,236900,Adamovićevo Naselje,Rare_var,3.0,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",106,uknjiženo,novo,useljivo,2010.0,6,0
80,87550,Grbavica,Rare_var,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,potrebno renoviranje,useljivo,2010.0,6,0
81,206000,Petrovaradin,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,uobičajeno stanje,useljivo,1900.0,2,0
82,280000,Bulevar Evrope,Bulevar Evrope,5.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",177,uknjiženo,uobičajeno stanje,useljivo,1900.0,5,0
83,56900,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,uobičajeno stanje,useljivo,1900.0,1,0
84,83900,Stari Grad,Jevrejska,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,uobičajeno stanje,useljivo,1900.0,1,0
85,105000,Liman,Rare_var,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,uobičajeno stanje,useljivo,1975.0,4,0
86,99910,Liman,Liman 3,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",34,uknjiženo,uobičajeno stanje,useljivo,1971.0,4,0
87,51500,Veternik,Veternik,1.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",31,uknjiženo,u izgradnji,useljivo,2022.0,2,0
88,149990,Stari Grad,Centar,2.0,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",48,uknjiženo,uobičajeno stanje,useljivo,2022.0,3,0
89,108150,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),klima,60,uknjiženo,uobičajeno stanje,useljivo,2022.0,1,0
90,119480,Adice,Adice,3.0,podno grejanje,prazno,ima lift (1),klima,80,uknjiženo,novo,useljivo,2022.0,1,0
91,123600,Grbavica,Grbavica,4.0,centralno grejanje,prazno,ima lift (1),internet,78,uknjiženo,novo,useljivo,2022.0,1,0
92,61845,Veternik,Veternik,2.0,podno grejanje,prazno,ima lift (1),internet,41,uknjiženo,novo,useljivo,2022.0,1,0
93,135960,Podbara,Podbara,3.0,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,novo,useljivo,2022.0,1,0
94,140000,Liman,Rare_var,3.0,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,uobičajeno stanje,useljivo,1970.0,3,0
95,49500,Sremska Kamenica,Sremska Kamenica,2.0,centralno grejanje,prazno,ima lift (1),internet,76,uknjiženo,u izgradnji,useljivo,1970.0,prizemlje,0
